"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2024","31.371","31.690","32.145","31.070","68.29K","-1.10%"
"07/12/2024","31.719","31.295","32.250","30.870","65.97K","1.95%"
"07/11/2024","31.112","30.850","31.490","30.325","62.91K","1.07%"
"07/10/2024","30.784","31.245","31.710","30.650","56.12K","-1.76%"
"07/09/2024","31.335","32.445","32.445","30.905","65.60K","-2.95%"
"07/08/2024","32.286","32.990","33.770","32.030","72.08K","-2.36%"
"07/05/2024","33.067","33.555","33.975","32.875","55.06K","-0.54%"
"07/04/2024","33.246","32.845","33.800","32.285","69.88K","1.70%"
"07/03/2024","32.691","33.500","33.745","32.620","96.04K","-2.95%"
"07/02/2024","33.685","33.435","33.900","33.115","69.29K","0.60%"
"07/01/2024","33.485","34.455","35.110","33.400","68.96K","-2.89%"
"06/28/2024","34.480","34.500","34.800","34.000","63.07K","-0.25%"
"06/27/2024","34.565","34.100","34.745","33.770","54.80K","2.19%"
"06/26/2024","33.824","34.700","35.400","33.700","91.24K","-2.95%"
"06/25/2024","34.853","34.420","35.055","34.215","65.18K","2.27%"
"06/24/2024","34.080","33.850","34.620","33.640","64.16K","0.42%"
"06/21/2024","33.936","34.450","34.700","33.840","58.29K","-1.53%"
"06/20/2024","34.464","35.295","35.730","34.225","79.05K","-2.47%"
"06/19/2024","35.338","34.650","35.625","34.300","80.32K","1.84%"
"06/18/2024","34.700","34.185","35.095","33.910","76.01K","1.43%"
"06/17/2024","34.210","35.305","35.870","34.140","72.12K","-3.25%"
"06/14/2024","35.360","35.585","36.095","34.750","85.60K","-1.02%"
"06/13/2024","35.724","35.200","36.885","35.155","81.91K","1.22%"
"06/12/2024","35.294","34.155","36.040","33.850","80.15K","2.94%"
"06/11/2024","34.285","34.200","35.395","33.500","89.80K","0.08%"
"06/10/2024","34.258","33.110","34.700","32.300","78.79K","3.47%"
"06/07/2024","33.109","32.900","33.575","32.700","61.81K","-1.71%"
"06/06/2024","33.686","33.385","34.295","32.850","73.72K","0.99%"
"06/05/2024","33.355","33.900","34.500","33.150","74.00K","-1.31%"
"06/04/2024","33.797","36.200","36.550","33.670","120.19K","-6.16%"
"06/03/2024","36.014","35.090","38.700","35.090","136.88K","5.23%"
"05/31/2024","34.223","35.000","35.715","34.100","74.65K","-2.75%"
"05/30/2024","35.192","33.800","35.490","33.350","34.83K","3.88%"
"05/29/2024","33.879","33.605","34.400","33.050","69.03K","1.03%"
"05/28/2024","33.534","35.000","35.180","33.155","75.78K","-4.85%"
"05/27/2024","35.243","33.900","35.510","33.880","26.70K","3.31%"
"05/24/2024","34.115","35.390","35.700","33.485","76.80K","-3.16%"
"05/23/2024","35.228","34.770","36.235","33.775","98.18K","2.44%"
"05/22/2024","34.389","32.825","34.830","32.660","90.78K","4.20%"
"05/21/2024","33.004","31.725","33.235","31.300","99.52K","3.89%"
"05/20/2024","31.768","31.150","32.190","30.995","69.57K","3.25%"
"05/17/2024","30.769","30.550","31.070","30.150","61.02K","1.72%"
"05/16/2024","30.248","29.500","30.765","29.355","75.57K","1.73%"
"05/15/2024","29.734","29.535","30.570","29.465","70.46K","0.22%"
"05/14/2024","29.669","29.895","30.215","29.285","66.61K","0.31%"
"05/13/2024","29.578","30.000","30.000","29.150","62.74K","-1.50%"
"05/10/2024","30.029","30.805","31.590","29.670","73.14K","-2.71%"
"05/09/2024","30.865","30.590","31.530","30.400","59.21K","0.84%"
"05/08/2024","30.609","30.840","31.050","30.000","67.31K","-1.47%"
